"Occupational group","Women","Men"
"Architecture and engineering ","1635","1864"
"Computer and mathematical ","1628","1976"
"Legal ","1543","2301"
"Management ","1483","1900"
"Life, physical, and social science ","1445","1658"
"Business and financial operations ","1406","1674"
"Healthcare practitioners and technical ","1341","1682"
"Arts, design, entertainment, sports, and media ","1271","1381"
"Community and social service ","1144","1157"
"Education, training, and library ","1134","1376"
"Protective service ","884","1190"
"Installation, maintenance, and repair ","875","1104"
"Office and administrative support ","864","983"
"Sales and related ","830","1196"
"Construction and extraction ","795","991"
"Production ","742","966"
"Personal care and service ","706","779"
"Healthcare support ","704","794"
"Transportation and material moving ","694","897"
"Building and grounds cleaning and maintenance ","621","749"
"Food preparation and serving related ","618","700"
"Farming, fishing, and forestry ","614","728"
""